time,topic,Indicator,Rating_kW,Next_time,Duration_hr,Consumption_MJ
2020-06-12 15:00:28.010978,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 15:00:56.817075,0.008001693611111112,0.9707654689000004
2020-06-12 15:00:56.817075,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:01:54.428353,0.016003132777777783,0.0
2020-06-12 15:01:54.428353,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 15:02:23.198129,0.007991604444444444,1.1766838384
2020-06-12 15:02:23.198129,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 15:02:51.993229,0.007998638888888887,0.97039487
2020-06-12 15:03:49.589390,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:04:47.183417,0.015998340833333336,0.0
2020-06-12 15:05:15.980904,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 15:05:44.797005,0.0080044725,0.9711026037000002
2020-06-12 15:06:42.384850,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:07:11.190594,0.008001595555555555,0.0
2020-06-12 15:07:11.190594,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 15:07:39.981919,0.007997590277777777,0.9702676525
2020-06-12 15:07:39.981919,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:09:06.578495,0.024054604444444443,0.0
2020-06-12 15:09:35.169367,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:10:04.026190,0.008015784166666668,0.0
2020-06-12 15:10:32.768427,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:11:30.358572,0.0159972625,0.0
2020-06-12 15:11:30.358572,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 15:11:59.160396,0.008000506666666667,0.7632483360000001
2020-06-12 15:11:59.160396,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:12:56.891378,0.01603638388888889,0.0
2020-06-12 15:12:56.891378,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 15:13:25.583618,0.007970066666666671,0.76034436
2020-06-12 15:13:25.583618,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:15:49.540691,0.03998807583333334,0.0
2020-06-12 15:16:18.336649,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 15:16:47.245790,0.008030316944444445,1.3905296821000002
2020-06-12 15:16:47.245790,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:17:44.739478,0.01597046888888889,0.0
2020-06-12 15:18:26.855649,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:19:30.026810,0.017547544722222225,0.0
2020-06-12 15:19:52.237332,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:20:13.328263,0.005858591944444445,0.0
2020-06-12 15:20:13.328263,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 15:20:33.721411,0.005664763333333336,0.9809104188000002
2020-06-12 15:20:33.721411,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:21:39.686546,0.01832364861111111,0.0
2020-06-12 15:22:04.864430,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 15:22:33.266385,0.007889431944444445,1.1616399595000002
2020-06-12 15:22:33.266385,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:23:29.221847,0.01554318388888889,0.0
2020-06-12 15:23:50.220288,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 15:24:15.839043,0.007116320833333334,1.0478070795
2020-06-12 15:24:15.839043,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:25:11.917005,0.015577211666666669,0.0
2020-06-12 15:25:11.917005,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 15:25:39.530859,0.007670515000000002,0.7317671310000001
2020-06-12 15:25:39.530859,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 15:26:07.722083,0.007830895555555556,1.3559978744
2020-06-12 15:26:07.722083,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 15:26:36.069537,0.007874292777777778,0.9553091998000001
2020-06-12 15:27:04.334739,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:27:32.201326,0.007740718611111113,0.0
2020-06-12 15:27:59.966454,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:30:47.635048,0.04657460944444445,0.0
2020-06-12 15:30:47.635048,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 15:31:16.210515,0.007937629722222223,1.3744799627000002
2020-06-12 15:31:16.210515,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:32:11.500296,0.0153582725,0.0
2020-06-12 15:32:39.539301,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:33:08.596382,0.008071411388888889,0.0
2020-06-12 15:34:06.020478,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:34:51.354589,0.012592808611111112,0.0
2020-06-12 15:35:13.291047,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 15:35:34.748125,0.005960299444444445,0.0
